date,0,1,2,3,4
2015-11-25,2.483483314164146e-16,1.2458913903535596e-24,1.6915865763070578e-17,1.9016943861190709e-178,1.0
2015-11-26,1.82991082773443e-17,7.519166652983789e-18,1.7166117440659864e-17,4.645683430836252e-140,1.0
2015-11-27,2.6210704023776526e-18,1.5951109895649295e-13,4.2052492625570016e-18,1.710162624167389e-95,0.9999999999998401
2015-11-30,1.4805756063199719e-22,1.391889159116294e-19,4.705292360517673e-20,1.5518870584348981e-128,1.0
2015-12-01,8.456360224756078e-21,3.082686884028584e-11,2.659786310993218e-18,4.72289956246272e-81,0.9999999999691731
2015-12-02,1.0486963822315928e-18,2.5044626809100837e-16,5.860385030223109e-16,6.460681184580382e-116,1.0
2015-12-03,2.2249151284247464e-22,2.2134655637116135e-17,3.498677868143429e-18,2.5491854103262063e-124,1.0
2015-12-04,6.437365873650702e-24,9.74693850355833e-18,3.494007552181126e-19,5.94030182783025e-129,1.0
2015-12-07,4.8030209726220933e-32,2.706914333350735e-23,5.596979226704879e-23,1.4727055323294407e-155,1.0
2015-12-08,1.2822241985120353e-23,1.4128830459966846e-23,4.0445739621538327e-20,4.177191357355132e-169,1.0
2015-12-09,5.129264591000117e-32,1.5938949282300263e-23,7.443425409649667e-23,6.79059943897132e-163,1.0
2015-12-10,8.642991708182418e-21,9.222405251513176e-23,2.9127493624515197e-18,4.141071161172678e-169,1.0
2015-12-11,1.825453812945364e-15,1.5640716159018221e-15,1.0120389813052938e-16,4.0299820101207305e-131,0.9999999999999964
2015-12-14,2.544587060547513e-13,2.0690595106448218e-16,3.928175153559261e-16,6.80204432673365e-120,0.9999999999997442
2015-12-15,8.02543833879774e-15,4.168954669711441e-16,5.729013500106154e-17,2.571494711423681e-125,0.9999999999999929
2015-12-16,6.652017659367473e-17,3.7376663448508473e-17,9.220580089143066e-19,1.5842336935830637e-129,1.0
2015-12-17,1.3560336042287732e-20,3.9045495874595885e-14,6.5933066705677215e-21,9.278090389570244e-99,0.9999999999999609
2015-12-18,3.397093477191063e-25,4.958994440345079e-13,7.373195342780049e-23,1.1866060943828305e-91,0.9999999999995026
2015-12-21,1.8519457703607257e-21,5.282585148668013e-12,3.2320120815399704e-21,5.8382090781543824e-89,0.9999999999947171
2015-12-22,1.6185786234702216e-18,7.394609164104029e-11,4.0032323330371737e-20,1.4448156771994336e-81,0.9999999999260538
2015-12-23,4.9221059933687775e-17,3.1241308009086365e-10,3.0893544663620354e-19,6.099108720503958e-73,0.9999999996875886
2015-12-24,1.8128257361746143e-14,1.1591969870267571e-09,3.553998799356655e-17,1.9719593746986786e-72,0.999999998840785
2015-12-25,1.2857962620316014e-17,4.9120210595547874e-14,1.8376857309625952e-19,2.8829287120453026e-97,0.9999999999999503
2015-12-28,2.2961995381306166e-21,8.384069552194632e-14,2.7578839521457232e-21,5.69583765200354e-100,0.9999999999999147
2015-12-29,3.9920866963070345e-20,6.45556601850571e-13,1.6668925952854723e-20,1.4968698321595836e-95,0.9999999999993534
2015-12-30,2.479987803244294e-18,3.296015310822096e-12,3.1596131121351636e-19,2.157481970692867e-93,0.9999999999967031
2015-12-31,2.1097621459733253e-17,2.837972091546649e-09,4.805585782393766e-18,7.05983206241101e-77,0.9999999971620284
2016-01-01,9.915269211645685e-15,1.8311516873667163e-11,5.218283685912187e-15,5.412302761784669e-93,0.9999999999816751
2016-01-04,1.3597376254206047e-13,1.681672836563782e-12,4.804125131484174e-14,2.37469147353798e-102,0.9999999999981348
